fast,normal
45,49
46,48
40,48
41,45
40,50
42,49
34,49
44,48
39,47
42,49
43,47
43,47
42,46
43,49
41,50
32,46
34,44
35,46
39,48
40,47
41,48
32,43
33,42
32,43
33,42
42,47
41,49
42,49
39,47
40,49
41,49
43,49
42,48
41,49
42,50
44,47
41,49
42,47
40,48
42,50
33,42
31,43
33,42
32,43
41,49
42,50
43,48
40,48
39,51
39,49
42,49
39,48
44,49
32,43
42,48
43,49
36,45
42,48
32,43
41,48
44,51
37,47
38,48
31,41
31,42
31,42
31,42
39,47
41,48
43,48
41,50
36,49
41,47
32,42
32,42
32,42
32,41
42,48
42,49
43,49
44,47
39,47
41,49
32,42
31,41
32,43
32,42
43,47
42,49
39,47
41,47
39,51
39,49
37,46
42,48
31,42
41,49
43,50
38,46
41,47
31,43
31,42
32,42
31,43
41,51
42,51
41,47
39,50
39,46
45,48
32,43
39,49
43,50
37,49
44,49
40,49
40,49
43,49
41,48
40,49
37,48
41,51
44,48
41,48
41,47
41,50
42,48
42,49
38,48
43,49
43,46
42,49
43,48
39,49
40,48
38,48
40,47
40,49
39,48
38,49
42,48
42,49
39,47
42,47
44,48
42,47
43,50
39,48
43,51
42,49
43,49
32,45
39,48
32,42
42,47
33,42
32,43
31,44
32,43
40,47
41,48
42,49
43,47
40,50
42,48
42,49
43,49
44,49
38,49
41,50
42,48
40,48
45,48
42,46
44,48
42,48
39,47
38,46
42,47
32,43
32,41
32,42
31,43
43,49
41,50
43,48
38,48
40,48
42,49
38,48
38,1388
40,47
41,49
37,49
43,49
32,43
32,43
32,43
31,44
31,43
31,44
32,43
31,44
41,50
45,50
42,47
41,48
41,49
41,48
41,51
42,49
41,49
38,46
42,49
39,47
41,49
44,49
44,49
43,47
39,49
41,49
44,48
43,50
44,49
41,48
39,47
41,50
44,48
43,49
42,49
41,49
41,49
40,50
42,49
43,50
43,50
35,47
41,50
42,48
39,48
43,47
42,48
41,46
40,48
43,48
40,50
43,49
40,49
41,50
43,49
44,48
42,50
45,46
31,43
38,46
41,45
32,43
39,46
33,42
42,47
42,49
41,49
38,48
39,49
42,49
42,50
39,46
43,48
36,44
35,49
32,42
42,48
32,43
32,43
32,43
32,44
40,47
44,50
44,48
42,49
42,49
41,48
39,50
40,49
43,46
44,49
40,50
42,47
34,43
41,46
32,43
43,49
32,42
32,43
32,42
34,42
40,50
40,47
41,48
43,49
43,49
42,48
39,49
44,50
41,48
43,49
41,50
41,48
33,44
39,46
33,43
42,49
41,48
44,50
43,48
40,49
